Job,Female Total Workers,Male Total Workers,Role: Who Dominates More?,Female Median Earnings,Male Median Earnings,Earnings: Who Dominates More?
    Bus and truck mechanics and diesel engine specialists,3771,262816,Male Total Workers,"42,634","50,066",Male Median Earnings
    Heavy vehicle and mobile equipment service technicians and mechanics,2858,202013,Male Total Workers,"43,833","54,576",Male Median Earnings
    Small engine mechanics,465,31436,Male Total Workers,"31,569","36,112",Male Median Earnings
"    Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",1275,58786,Male Total Workers,"33,487","31,691",Female Median Earnings
    Control and valve installers and repairers,1105,18920,Male Total Workers,"66,913","57,370",Female Median Earnings
"    Heating, air conditioning, and refrigeration mechanics and installers",5383,352683,Male Total Workers,"40,987","49,499",Male Median Earnings
    Home appliance repairers,970,29785,Male Total Workers,"29,815","42,290",Male Median Earnings
    Industrial and refractory machinery mechanics,10577,330597,Male Total Workers,"42,360","55,373",Male Median Earnings
"    Maintenance and repair workers, general",18645,485507,Male Total Workers,"39,514","48,412",Male Median Earnings
"    Maintenance workers, machinery",880,23175,Male Total Workers,"43,716","54,504",Male Median Earnings
    Millwrights,625,37640,Male Total Workers,"48,603","66,369",Male Median Earnings
    Electrical power-line installers and repairers,1638,106125,Male Total Workers,"51,997","80,513",Male Median Earnings
    Telecommunications line installers and repairers,4542,116131,Male Total Workers,"55,731","53,901",Female Median Earnings
    Precision instrument and equipment repairers,4762,44426,Male Total Workers,"40,141","55,050",Male Median Earnings
    Wind turbine service technicians,45,4456,Male Total Workers,"109,063","60,382",Female Median Earnings
"    Coin, vending, and amusement machine servicers and repairers",3035,20765,Male Total Workers,"32,924","39,680",Male Median Earnings
    Commercial divers,180,2120,Male Total Workers,"39,009","52,921",Male Median Earnings
    Locksmiths and safe repairers,888,20594,Male Total Workers,"33,418","45,518",Male Median Earnings
    Manufactured building and mobile home installers,84,2815,Male Total Workers,"36,300","37,009",Male Median Earnings
    Riggers,340,9314,Male Total Workers,"40,690","53,069",Male Median Earnings
"    Helpers--installation, maintenance, and repair workers",687,12269,Male Total Workers,"30,981","30,479",Female Median Earnings
"    Other installation, maintenance, and repair workers",9322,171215,Male Total Workers,"35,316","43,512",Male Median Earnings
    First-line supervisors of production and operating workers,156186,645969,Male Total Workers,"44,547","61,204",Male Median Earnings
"    Aircraft structure, surfaces, rigging, and systems assemblers",1081,3697,Male Total Workers,"36,094","52,400",Male Median Earnings
"    Electrical, electronics, and electromechanical assemblers",50738,53669,Male Total Workers,"31,273","36,953",Male Median Earnings
    Engine and other machine assemblers,1334,9004,Male Total Workers,"37,054","47,078",Male Median Earnings
    Structural metal fabricators and fitters,914,21363,Male Total Workers,"36,250","47,996",Male Median Earnings
    Other assemblers and fabricators,286792,506566,Male Total Workers,"31,198","37,242",Male Median Earnings
    Bakers,75728,61753,Female Total Workers,"26,416","31,311",Male Median Earnings
"    Butchers and other meat, poultry, and fish processing workers",44891,150382,Male Total Workers,"26,901","33,891",Male Median Earnings
"    Food and tobacco roasting, baking, and drying machine operators and tenders",2127,6280,Male Total Workers,"27,213","37,296",Male Median Earnings
    Food batchmakers,31568,26838,Female Total Workers,"27,303","37,108",Male Median Earnings
    Food cooking machine operators and tenders,2543,3757,Male Total Workers,"23,143","34,308",Male Median Earnings
"    Food processing workers, all other",38646,76479,Male Total Workers,"31,617","38,935",Male Median Earnings
    Computer numerically controlled tool operators and programmers,12393,104311,Male Total Workers,"33,362","46,530",Male Median Earnings
"    Forming machine setters, operators, and tenders, metal and plastic",3905,22824,Male Total Workers,"29,814","45,078",Male Median Earnings
"    Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",11364,56419,Male Total Workers,"31,332","38,006",Male Median Earnings
"    Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",4464,32100,Male Total Workers,"32,162","39,006",Male Median Earnings
"    Other machine tool setters, operators, and tenders, metal and plastic",1590,10301,Male Total Workers,"30,745","42,523",Male Median Earnings
    Machinists,11854,294968,Male Total Workers,"38,393","51,134",Male Median Earnings
"    Metal furnace operators, tenders, pourers, and casters",1725,18391,Male Total Workers,"39,092","47,952",Male Median Earnings
"    Model makers and patternmakers, metal and plastic",545,4119,Male Total Workers,"47,902","60,349",Male Median Earnings
"    Molders and molding machine setters, operators, and tenders, metal and plastic",4935,27662,Male Total Workers,"31,580","41,358",Male Median Earnings
    Tool and die makers,1064,49383,Male Total Workers,"42,621","60,838",Male Median Earnings
"    Welding, soldering, and brazing workers",26513,467640,Male Total Workers,"33,333","44,448",Male Median Earnings
    Other metal workers and plastic workers,73759,284263,Male Total Workers,"31,296","40,910",Male Median Earnings
    Prepress technicians and workers,7145,10843,Male Total Workers,"33,626","45,262",Male Median Earnings
    Printing press operators,27208,104034,Male Total Workers,"31,001","42,398",Male Median Earnings
    Print binding and finishing workers,4936,8470,Male Total Workers,"29,484","39,182",Male Median Earnings
    Laundry and dry-cleaning workers,61816,37023,Female Total Workers,"22,298","27,803",Male Median Earnings
"    Pressers, textile, garment, and related materials",11335,8987,Female Total Workers,"21,622","31,396",Male Median Earnings
    Sewing machine operators,81008,33270,Female Total Workers,"25,089","29,937",Male Median Earnings
    Shoe and leather workers,2337,6553,Male Total Workers,"26,316","30,132",Male Median Earnings
"    Tailors, dressmakers, and sewers",28328,11231,Female Total Workers,"28,053","32,379",Male Median Earnings
"    Textile machine setters, operators, and tenders",9345,8950,Female Total Workers,"28,229","29,930",Male Median Earnings
    Upholsterers,4244,19833,Male Total Workers,"28,912","35,544",Male Median Earnings
"    Other textile, apparel, and furnishings workers",5903,7951,Male Total Workers,"32,205","35,440",Male Median Earnings
    Cabinetmakers and bench carpenters,2736,40974,Male Total Workers,"30,071","37,618",Male Median Earnings
    Furniture finishers,1675,6936,Male Total Workers,"29,518","37,761",Male Median Earnings
"    Sawing machine setters, operators, and tenders, wood",2432,21658,Male Total Workers,"27,029","31,558",Male Median Earnings
"    Woodworking machine setters, operators, and tenders, except sawing",2930,12208,Male Total Workers,"26,886","32,398",Male Median Earnings
    Other woodworkers,1369,20182,Male Total Workers,"31,123","36,959",Male Median Earnings
"    Power plant operators, distributors, and dispatchers",3364,41023,Male Total Workers,"68,396","99,891",Male Median Earnings
    Stationary engineers and boiler operators,3274,79619,Male Total Workers,"70,926","65,168",Female Median Earnings
    Water and wastewater treatment plant and system operators,4642,83958,Male Total Workers,"50,269","52,694",Male Median Earnings
    Miscellaneous plant and system operators,3050,38699,Male Total Workers,"65,956","72,163",Male Median Earnings
"    Chemical processing machine setters, operators, and tenders",5781,50880,Male Total Workers,"43,364","52,936",Male Median Earnings
"    Crushing, grinding, polishing, mixing, and blending workers",8676,62665,Male Total Workers,"32,170","41,165",Male Median Earnings
    Cutting workers,9549,38848,Male Total Workers,"27,146","34,521",Male Median Earnings
"    Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3801,19119,Male Total Workers,"29,514","40,155",Male Median Earnings
"    Furnace, kiln, oven, drier, and kettle operators and tenders",1512,7342,Male Total Workers,"33,443","50,128",Male Median Earnings
"    Inspectors, testers, sorters, samplers, and weighers",244899,421034,Male Total Workers,"35,560","50,580",Male Median Earnings
    Jewelers and precious stone and metal workers,9307,16466,Male Total Workers,"31,896","40,728",Male Median Earnings
    Dental and ophthalmic laboratory technicians and medical appliance technicians,30891,30937,Male Total Workers,"36,160","44,488",Male Median Earnings
    Packaging and filling machine operators and tenders,104084,95628,Female Total Workers,"27,113","32,761",Male Median Earnings
    Painting workers,13470,110920,Male Total Workers,"30,553","41,546",Male Median Earnings
    Photographic process workers and processing machine operators,6461,11762,Male Total Workers,"36,086","60,315",Male Median Earnings
    Adhesive bonding machine operators and tenders,3163,5217,Male Total Workers,"26,867","38,053",Male Median Earnings
    Etchers and engravers,1858,4314,Male Total Workers,"32,500","36,305",Male Median Earnings
"    Molders, shapers, and casters, except metal and plastic",2972,19170,Male Total Workers,"29,211","38,202",Male Median Earnings
"    Paper goods machine setters, operators, and tenders",4686,13632,Male Total Workers,"31,949","49,366",Male Median Earnings
    Tire builders,1377,10561,Male Total Workers,"40,411","49,659",Male Median Earnings
    Helpers--production workers,7007,22456,Male Total Workers,"27,390","31,918",Male Median Earnings
    Other production equipment operators and tenders,2080,6022,Male Total Workers,"27,338","41,229",Male Median Earnings
    Other production workers,264179,711172,Male Total Workers,"30,394","40,758",Male Median Earnings
    Supervisors of transportation and material moving workers,50994,184265,Male Total Workers,"41,596","54,919",Male Median Earnings
    Aircraft pilots and flight engineers,6158,101277,Male Total Workers,"92,937","119,533",Male Median Earnings
    Air traffic controllers and airfield operations specialists,5791,26455,Male Total Workers,"78,793","98,839",Male Median Earnings
    Flight attendants,40746,15394,Female Total Workers,"49,809","59,462",Male Median Earnings
"    Ambulance drivers and attendants, except emergency medical technicians",1882,6302,Male Total Workers,"30,140","32,495",Male Median Earnings
"    Bus drivers, school",63902,62318,Female Total Workers,"30,333","37,445",Male Median Earnings
"    Bus drivers, transit and intercity",44063,102449,Male Total Workers,"34,695","45,274",Male Median Earnings
    Driver/sales workers and truck drivers,139383,2608299,Male Total Workers,"32,882","47,415",Male Median Earnings
    Shuttle drivers and chauffeurs,15364,78872,Male Total Workers,"27,014","32,404",Male Median Earnings
    Taxi drivers,25564,197990,Male Total Workers,"25,672","31,050",Male Median Earnings
"    Motor vehicle operators, all other",9509,41035,Male Total Workers,"25,993","34,297",Male Median Earnings
    Locomotive engineers and operators,1472,41098,Male Total Workers,"80,278","90,619",Male Median Earnings
    Railroad conductors and yardmasters,2572,41639,Male Total Workers,"62,893","78,418",Male Median Earnings
    Other rail transportation workers,2166,17544,Male Total Workers,"64,858","70,180",Male Median Earnings
    Sailors and marine oilers,939,14513,Male Total Workers,"42,769","50,469",Male Median Earnings
    Ship and boat captains and operators,1575,24336,Male Total Workers,"51,142","81,640",Male Median Earnings
    Ship engineers,117,2757,Male Total Workers,"136,250","81,958",Female Median Earnings
    Parking attendants,5756,38011,Male Total Workers,"24,022","27,037",Male Median Earnings
    Transportation service attendants,6694,57459,Male Total Workers,"24,248","27,107",Male Median Earnings
    Transportation inspectors,5578,34362,Male Total Workers,"43,847","65,753",Male Median Earnings
    Passenger attendants,9015,6475,Female Total Workers,"26,270","36,077",Male Median Earnings
    Other transportation workers,4209,18502,Male Total Workers,"44,375","50,596",Male Median Earnings
    Crane and tower operators,1479,53043,Male Total Workers,"50,872","62,607",Male Median Earnings
"    Conveyor, dredge, and hoist and winch operators",1212,14410,Male Total Workers,"32,923","44,875",Male Median Earnings
    Industrial truck and tractor operators,39901,475570,Male Total Workers,"33,535","35,479",Male Median Earnings
    Cleaners of vehicles and equipment,34215,185983,Male Total Workers,"26,044","27,602",Male Median Earnings
"    Laborers and freight, stock, and material movers, hand",263317,1163142,Male Total Workers,"28,970","33,632",Male Median Earnings
    Machine feeders and offbearers,8217,12623,Male Total Workers,"26,522","34,808",Male Median Earnings
"    Packers and packagers, hand",177359,136641,Female Total Workers,"25,161","28,851",Male Median Earnings
    Stockers and order fillers,308341,586343,Male Total Workers,"28,120","30,305",Male Median Earnings
    Pumping station operators,778,19677,Male Total Workers,"40,471","64,790",Male Median Earnings
    Refuse and recyclable material collectors,6464,59502,Male Total Workers,"31,416","35,738",Male Median Earnings
    Other material moving workers,5833,46590,Male Total Workers,"30,666","42,369",Male Median Earnings
