Job,Female Total Workers,Male Total Workers,Role: Who Dominates More?,Female Median Earnings,Male Median Earnings,Earnings: Who Dominates More?
    Diagnostic medical sonographers,46314,15457,Female Total Workers,"65,954","77,335",Male Median Earnings
    Radiologic technologists and technicians,105448,57364,Female Total Workers,"56,734","66,816",Male Median Earnings
    Magnetic resonance imaging technologists,16746,16843,Male Total Workers,"65,672","78,094",Male Median Earnings
    Nuclear medicine technologists and medical dosimetrists,10111,10188,Male Total Workers,"76,565","91,909",Male Median Earnings
    Emergency medical technicians,34764,59873,Male Total Workers,"36,681","41,215",Male Median Earnings
    Paramedics,22598,60750,Male Total Workers,"49,580","55,609",Male Median Earnings
    Pharmacy technicians,198878,56863,Female Total Workers,"33,662","37,689",Male Median Earnings
    Psychiatric technicians,28320,15403,Female Total Workers,"33,341","34,472",Male Median Earnings
    Surgical technologists,52789,20374,Female Total Workers,"41,403","46,603",Male Median Earnings
    Veterinary technologists and technicians,80987,11532,Female Total Workers,"33,019","34,854",Male Median Earnings
    Dietetic technicians and ophthalmic medical technicians,19001,4212,Female Total Workers,"30,234","31,406",Male Median Earnings
    Licensed practical and licensed vocational nurses,487823,70214,Female Total Workers,"41,747","45,176",Male Median Earnings
    Medical records specialists,135502,13447,Female Total Workers,"42,290","44,093",Male Median Earnings
"    Opticians, dispensing",34281,13398,Female Total Workers,"36,800","51,253",Male Median Earnings
    Miscellaneous health technologists and technicians,70578,42779,Female Total Workers,"41,134","50,467",Male Median Earnings
    Other healthcare practitioners and technical occupations,44823,25855,Female Total Workers,"53,956","63,007",Male Median Earnings
    Home health aides,227069,30626,Female Total Workers,"26,951","30,807",Male Median Earnings
    Personal care aides,583352,140582,Female Total Workers,"25,825","29,013",Male Median Earnings
    Nursing assistants,807741,112406,Female Total Workers,"28,288","31,748",Male Median Earnings
    Orderlies and psychiatric aides,19466,24206,Male Total Workers,"30,458","32,261",Male Median Earnings
    Occupational therapy assistants and aides,21556,4639,Female Total Workers,"45,871","50,961",Male Median Earnings
    Physical therapist assistants and aides,41864,21622,Female Total Workers,"47,486","51,113",Male Median Earnings
    Massage therapists,46603,15370,Female Total Workers,"32,442","34,309",Male Median Earnings
    Dental assistants,167480,13020,Female Total Workers,"33,998","36,885",Male Median Earnings
    Medical assistants,381697,35689,Female Total Workers,"32,350","36,647",Male Median Earnings
    Medical transcriptionists,20323,3066,Female Total Workers,"32,393","24,355",Female Median Earnings
    Pharmacy aides,17190,5852,Female Total Workers,"32,348","45,401",Male Median Earnings
    Veterinary assistants and laboratory animal caretakers,29180,6374,Female Total Workers,"27,136","34,826",Male Median Earnings
    Phlebotomists,72898,13006,Female Total Workers,"32,830","34,456",Male Median Earnings
    Other healthcare support workers,72397,38953,Female Total Workers,"33,173","39,639",Male Median Earnings
    First-line supervisors of correctional officers,13209,33465,Male Total Workers,"50,723","60,013",Male Median Earnings
    First-line supervisors of police and detectives,14748,87971,Male Total Workers,"72,479","88,734",Male Median Earnings
    First-line supervisors of firefighting and prevention workers,1966,45539,Male Total Workers,"94,044","97,118",Male Median Earnings
    First-line supervisors of security workers,15327,46073,Male Total Workers,"49,998","56,009",Male Median Earnings
"    First-line supervisors of protective service workers, all other",2276,6533,Male Total Workers,"57,375","57,360",Female Median Earnings
    Firefighters,12220,276714,Male Total Workers,"52,149","71,886",Male Median Earnings
    Fire inspectors,2659,19309,Male Total Workers,"57,113","63,356",Male Median Earnings
    Bailiffs,8143,16211,Male Total Workers,"48,388","53,208",Male Median Earnings
    Correctional officers and jailers,94607,254395,Male Total Workers,"41,488","51,581",Male Median Earnings
    Detectives and criminal investigators,32642,95961,Male Total Workers,"67,335","87,183",Male Median Earnings
    Fish and game wardens,762,4993,Male Total Workers,"42,569","53,669",Male Median Earnings
    Parking enforcement workers,2693,4146,Male Total Workers,"42,561","40,972",Female Median Earnings
    Police officers,97117,630868,Male Total Workers,"60,621","70,038",Male Median Earnings
    Animal control workers,4236,5035,Male Total Workers,"38,408","40,791",Male Median Earnings
    Private detectives and investigators,37462,42964,Male Total Workers,"52,329","64,435",Male Median Earnings
    Security guards and gambling surveillance officers,157618,512669,Male Total Workers,"31,209","33,958",Male Median Earnings
    Crossing guards and flaggers,4942,8568,Male Total Workers,"32,893","35,223",Male Median Earnings
    Transportation security screeners,12561,22765,Male Total Workers,"44,371","45,725",Male Median Earnings
    School bus monitors,5983,1248,Female Total Workers,"24,906","16,875",Female Median Earnings
    Other protective service workers,8325,17095,Male Total Workers,"30,358","37,466",Male Median Earnings
    Chefs and head cooks,72543,286479,Male Total Workers,"30,854","36,760",Male Median Earnings
    First-line supervisors of food preparation and serving workers,214229,181612,Female Total Workers,"25,958","32,221",Male Median Earnings
    Cooks,432546,720749,Male Total Workers,"21,837","25,427",Male Median Earnings
    Food preparation workers,194465,152855,Female Total Workers,"21,776","23,899",Male Median Earnings
    Bartenders,108487,100948,Female Total Workers,"27,491","34,446",Male Median Earnings
    Fast food and counter workers,103694,62166,Female Total Workers,"21,317","21,808",Male Median Earnings
    Waiters and waitresses,440339,245403,Female Total Workers,"22,453","28,036",Male Median Earnings
"    Food servers, nonrestaurant",50123,27813,Female Total Workers,"25,303","30,293",Male Median Earnings
    Dining room and cafeteria attendants and bartender helpers,35233,49103,Male Total Workers,"20,807","24,907",Male Median Earnings
    Dishwashers,20242,81357,Male Total Workers,"20,618","21,632",Male Median Earnings
"    Hosts and hostesses, restaurant, lounge, and coffee shop",37799,8928,Female Total Workers,"21,569","25,853",Male Median Earnings
"    Food preparation and serving related workers, all other",2625,3059,Male Total Workers,"24,207","27,892",Male Median Earnings
    First-line supervisors of housekeeping and janitorial workers,68206,124559,Male Total Workers,"31,508","45,945",Male Median Earnings
"    First-line supervisors of landscaping, lawn service, and groundskeeping workers",7192,124492,Male Total Workers,"34,553","44,377",Male Median Earnings
    Janitors and building cleaners,413389,1116597,Male Total Workers,"25,162","33,168",Male Median Earnings
    Maids and housekeeping cleaners,604538,117916,Female Total Workers,"22,864","27,786",Male Median Earnings
    Pest control workers,2963,67106,Male Total Workers,"32,186","40,524",Male Median Earnings
